game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp,team_elo,havoc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
W (41-31),2,16,28.0,341,3,27,153,2,5.7,55,9.0,1,6,1,17,6,67,1,1,0,2.0,23.0,39.0,275.0,2.0,40.0,155.0,2.0,3.9,79.0,5.4,3.0,8.0,3.0,25.0,7.0,50.0,1.0,1.0,150.3390200447288,,,,,,,,,
W (17-10),1,19,29.0,124,1,44,159,1,3.6,73,3.9,3,9,3,20,5,49,1,0,0,1.0,17.0,39.0,171.0,0.0,22.0,28.0,0.0,1.3,61.0,3.3,2.0,3.0,2.0,14.0,7.0,74.0,0.0,1.0,189.8596167997759,,,,,,,,,
W (62-14),0,22,30.0,246,4,38,131,2,3.4,68,5.5,3,8,3,21,6,57,0,0,1,3.0,19.0,38.0,171.0,1.0,31.0,159.0,1.0,5.1,69.0,4.8,3.0,10.0,3.0,19.0,8.0,78.0,1.0,2.0,234.8826398551197,,,,,,,,,
W (51-45),3,14,29.0,225,2,41,263,3,6.4,70,7.0,0,13,0,19,7,85,1,2,1,3.0,21.0,35.0,342.0,2.0,40.0,186.0,3.0,4.7,75.0,7.0,5.0,7.0,5.0,25.0,5.0,28.0,1.0,2.0,249.5827552812448,,,,,,,,,
L (14-38),4,34,52.0,293,2,25,1,0,0.0,77,3.8,2,2,2,15,11,102,2,2,0,0.0,16.0,20.0,144.0,0.0,43.0,130.0,4.0,3.0,63.0,4.3,1.0,8.0,1.0,13.0,5.0,52.0,0.0,0.0,-12.78746877675812,,,,,,,,,
L (7-42),1,24,36.0,186,1,34,82,0,2.4,70,3.8,2,7,2,17,3,25,1,0,0,3.0,17.0,28.0,208.0,1.0,37.0,293.0,5.0,7.9,65.0,7.7,2.0,13.0,2.0,23.0,5.0,55.0,2.0,1.0,1.111216761488703,,,,,,,,,
W (36-24),1,26,36.0,281,2,29,53,1,1.8,65,5.1,4,4,4,22,5,50,0,1,1,2.0,40.0,53.0,395.0,3.0,21.0,41.0,0.0,2.0,74.0,5.9,2.0,0.0,2.0,20.0,12.0,105.0,1.0,1.0,19.60168926364764,,,,,,,,,
L (14-20),1,26,43.0,249,2,20,-6,0,-0.3,63,3.9,2,1,2,12,4,30,0,1,1,3.0,18.0,26.0,187.0,1.0,49.0,131.0,1.0,2.7,75.0,4.2,1.0,8.0,1.0,17.0,5.0,50.0,1.0,2.0,1.3812513249843017,,,,,,,,,
L (21-38),1,24,42.0,143,1,25,87,2,3.5,67,3.4,6,6,6,21,5,45,0,1,0,0.0,20.0,34.0,274.0,4.0,39.0,108.0,0.0,2.8,73.0,5.2,2.0,5.0,2.0,19.0,11.0,126.0,0.0,0.0,-15.78652370009393,,,,,,,,,
W (33-30),3,36,59.0,350,2,44,118,2,2.7,103,4.5,5,13,5,35,6,44,0,3,1,2.0,20.0,39.0,266.0,1.0,29.0,87.0,1.0,3.0,68.0,5.2,1.0,4.0,1.0,16.0,12.0,126.0,1.0,1.0,19.316688188446207,,,,,,,,,
W (37-34),0,37,55.0,331,2,44,148,2,3.4,99,4.8,2,9,2,31,5,31,0,0,1,2.0,20.0,30.0,277.0,2.0,30.0,151.0,2.0,5.0,60.0,7.1,2.0,7.0,2.0,20.0,5.0,41.0,1.0,1.0,27.35364070864962,,,,,,,,,
L (31-41),1,39,63.0,379,2,41,148,2,3.6,104,5.1,3,9,3,30,6,50,0,1,0,0.0,22.0,45.0,297.0,1.0,41.0,137.0,3.0,3.3,86.0,5.0,1.0,9.0,1.0,25.0,4.0,38.0,0.0,0.0,6.91748050122257,,,,,,,,,
L (17-45),5,12,38.0,159,1,36,149,1,4.1,74,4.2,3,12,3,23,4,32,0,5,1,1.0,19.0,30.0,211.0,1.0,59.0,231.0,4.0,3.9,89.0,5.0,2.0,16.0,2.0,27.0,4.0,46.0,1.0,0.0,15.258584533190824,,,,,,,,,
W (43-28),0,20,34.0,246,1,48,264,4,5.5,82,6.2,1,17,1,26,6,47,0,0,1,2.0,20.0,33.0,283.0,3.0,32.0,242.0,1.0,7.6,65.0,8.1,1.0,11.0,1.0,20.0,10.0,75.0,1.0,1.0,32.681761327379725,,,,,,,,,
W (51-48),2,31,51.0,436,2,44,163,4,3.7,95,6.3,0,11,0,31,9,63,1,1,1,1.0,29.0,42.0,462.0,6.0,45.0,210.0,0.0,4.7,87.0,7.7,2.0,11.0,2.0,27.0,4.0,31.0,0.0,1.0,84.4543139999821,,,,,,,,,
W (55-10),0,12,26.0,177,1,37,234,6,6.3,63,6.5,8,11,8,27,4,38,0,0,1,1.0,7.0,17.0,48.0,0.0,54.0,205.0,1.0,3.8,71.0,3.6,1.0,8.0,1.0,13.0,14.0,133.0,1.0,0.0,18.09612983715652,,,,,,,,,
L (14-17),4,22,40.0,254,1,34,122,1,3.6,74,5.1,3,7,3,24,6,53,1,3,0,1.0,13.0,24.0,65.0,0.0,33.0,216.0,2.0,6.5,57.0,4.9,1.0,9.0,1.0,14.0,11.0,103.0,0.0,1.0,2.994304806827765,,,,,,,,,
W (52-32),0,15,21.0,190,4,36,159,1,4.4,57,6.1,2,9,2,22,5,25,0,0,0,4.0,30.0,49.0,284.0,2.0,41.0,140.0,2.0,3.4,90.0,4.7,0.0,13.0,0.0,29.0,5.0,61.0,0.0,4.0,45.86535044500964,,,,,,,,,
L (27-34),6,25,48.0,249,1,38,198,2,5.2,86,5.2,1,9,1,22,5,30,2,4,0,1.0,22.0,39.0,245.0,1.0,38.0,153.0,2.0,4.0,77.0,5.2,0.0,10.0,0.0,19.0,4.0,35.0,1.0,0.0,57.10077666395362,,,,,,,,,
W (28-21),1,21,38.0,301,3,43,136,1,3.2,81,5.4,4,9,4,24,10,105,0,1,1,1.0,13.0,35.0,94.0,0.0,39.0,187.0,3.0,4.8,74.0,3.8,4.0,8.0,4.0,16.0,6.0,75.0,0.0,1.0,91.1946905924842,,,,,,,,,
L (14-20),4,18,49.0,235,1,33,99,1,3.0,82,4.1,2,5,2,16,5,43,1,3,0,1.0,7.0,21.0,54.0,0.0,47.0,134.0,1.0,2.9,68.0,2.8,0.0,5.0,0.0,8.0,7.0,60.0,0.0,1.0,66.09355227006796,,,,,,,,,
L (10-28),2,35,48.0,286,1,33,60,0,1.8,81,4.3,0,8,0,20,6,37,1,1,0,3.0,19.0,29.0,167.0,1.0,44.0,266.0,3.0,6.0,73.0,5.9,2.0,13.0,2.0,25.0,3.0,16.0,2.0,1.0,-8.24027083301511,,,,,,,,,
